basket_id,item_id,item_name,category,quantity,basket_theme
B001,I001,Молоко 2.5%,Молочные продукты,2,breakfast_basic
B001,I006,Сыр гауда,Молочные продукты,1,breakfast_basic
B001,I007,Сливочное масло,Молочные продукты,1,breakfast_basic
B001,I015,Хлеб пшеничный,Хлеб,2,breakfast_basic
B001,I023,Яйца C1 10 шт,Бакалея,1,breakfast_basic
B001,I065,Бананы,Фрукты,2,breakfast_basic
B001,I084,Овсяные хлопья,Бакалея,1,breakfast_basic
B001,I115,Кофе молотый,Напитки,1,breakfast_basic
B002,I001,Молоко 2.5%,Молочные продукты,1,tea_sweets
B002,I005,Сметана 20%,Молочные продукты,1,tea_sweets
B002,I021,Круассаны,Хлеб,1,tea_sweets
B002,I042,Картофель,Овощи,1,tea_sweets
B002,I070,Клубника,Фрукты,1,tea_sweets
B002,I115,Кофе молотый,Напитки,1,tea_sweets
B002,I133,Печенье овсяное,Сладости,1,tea_sweets
B002,I134,Вафли,Сладости,1,tea_sweets
B002,I136,Джем клубничный,Сладости,2,tea_sweets
B003,I001,Молоко 2.5%,Молочные продукты,1,breakfast_basic
B003,I006,Сыр гауда,Молочные продукты,1,breakfast_basic
B003,I007,Сливочное масло,Молочные продукты,1,breakfast_basic
B003,I015,Хлеб пшеничный,Хлеб,1,breakfast_basic
B003,I023,Яйца C1 10 шт,Бакалея,2,breakfast_basic
B003,I115,Кофе молотый,Напитки,1,breakfast_basic
B004,I001,Молоко 2.5%,Молочные продукты,3,weekly_stock
B004,I005,Сметана 20%,Молочные продукты,1,weekly_stock
B004,I006,Сыр гауда,Молочные продукты,1,weekly_stock
B004,I015,Хлеб пшеничный,Хлеб,2,weekly_stock
B004,I023,Яйца C1 10 шт,Бакалея,1,weekly_stock
B004,I025,Куриное филе,Мясо и птица,1,weekly_stock
B004,I042,Картофель,Овощи,3,weekly_stock
B004,I044,Лук репчатый,Овощи,2,weekly_stock
B004,I051,Салат айсберг,Овощи,2,weekly_stock
B004,I052,Шпинат,Овощи,1,weekly_stock
B004,I057,Авокадо,Овощи,1,weekly_stock
B004,I059,Зеленый лук,Овощи,1,weekly_stock
B004,I064,Яблоки,Фрукты,1,weekly_stock
B004,I071,Голубика,Фрукты,1,weekly_stock
B004,I076,Рис длиннозерный,Бакалея,1,weekly_stock
B004,I119,Вода минеральная,Напитки,1,weekly_stock
B005,I036,Лосось филе,Рыба,1,fish_dinner
B005,I047,Огурцы,Овощи,1,fish_dinner
B005,I065,Бананы,Фрукты,2,fish_dinner
B005,I067,Лимоны,Фрукты,1,fish_dinner
B005,I076,Рис длиннозерный,Бакалея,1,fish_dinner
B005,I089,Оливковое масло,Бакалея,1,fish_dinner
B005,I109,Черный перец,Специи,1,fish_dinner
B005,I119,Вода минеральная,Напитки,6,fish_dinner
B006,I008,Сливки 10%,Молочные продукты,1,lasagna_pasta
B006,I009,Моцарелла,Молочные продукты,1,lasagna_pasta
B006,I010,Пармезан,Молочные продукты,1,lasagna_pasta
B006,I027,Фарш говяжий,Мясо и птица,1,lasagna_pasta
B006,I082,Макароны пенне,Бакалея,1,lasagna_pasta
B006,I096,Томатная паста,Соусы,1,lasagna_pasta
B006,I111,Итальянские травы,Специи,1,lasagna_pasta
B006,I120,Газированная вода,Напитки,4,lasagna_pasta
B006,I158,Бумажные полотенца,Дом,1,lasagna_pasta
B007,I001,Молоко 2.5%,Молочные продукты,1,salad_light
B007,I018,Лаваш,Хлеб,1,salad_light
B007,I039,Тунец консервированный,Рыба,1,salad_light
B007,I047,Огурцы,Овощи,2,salad_light
B007,I048,Перец болгарский,Овощи,1,salad_light
B007,I051,Салат айсберг,Овощи,2,salad_light
B007,I057,Авокадо,Овощи,1,salad_light
B007,I059,Зеленый лук,Овощи,1,salad_light
B007,I067,Лимоны,Фрукты,2,salad_light
B007,I098,Кукуруза консервированная,Консервы,1,salad_light
B007,I111,Итальянские травы,Специи,1,salad_light
B007,I117,Сок яблочный,Напитки,1,salad_light
B008,I036,Лосось филе,Рыба,1,fish_dinner
B008,I047,Огурцы,Овощи,2,fish_dinner
B008,I048,Перец болгарский,Овощи,1,fish_dinner
B008,I067,Лимоны,Фрукты,2,fish_dinner
B008,I076,Рис длиннозерный,Бакалея,1,fish_dinner
B008,I089,Оливковое масло,Бакалея,1,fish_dinner
B008,I102,Кетчуп,Соусы,1,fish_dinner
B008,I119,Вода минеральная,Напитки,6,fish_dinner
B009,I013,Йогурт греческий,Молочные продукты,1,healthy_breakfast
B009,I014,Молоко безлактозное,Молочные продукты,1,healthy_breakfast
B009,I065,Бананы,Фрукты,2,healthy_breakfast
B009,I069,Виноград,Фрукты,2,healthy_breakfast
B009,I071,Голубика,Фрукты,1,healthy_breakfast
B009,I084,Овсяные хлопья,Бакалея,1,healthy_breakfast
B009,I135,Мед,Сладости,1,healthy_breakfast
B009,I137,Орехи грецкие,Снэки,2,healthy_breakfast
B009,I143,Гранола,Завтраки,1,healthy_breakfast
B009,I156,Средство для посуды,Бытовая химия,1,healthy_breakfast
B010,I043,Морковь,Овощи,2,frozen_quick
B010,I046,Помидоры,Овощи,2,frozen_quick
B010,I057,Авокадо,Овощи,2,frozen_quick
B010,I065,Бананы,Фрукты,1,frozen_quick
B010,I102,Кетчуп,Соусы,1,frozen_quick
B010,I120,Газированная вода,Напитки,2,frozen_quick
B010,I124,Пельмени,Заморозка,1,frozen_quick
B010,I125,Вареники с картофелем,Заморозка,1,frozen_quick
B010,I158,Бумажные полотенца,Дом,1,frozen_quick
B011,I001,Молоко 2.5%,Молочные продукты,1,breakfast_basic
B011,I006,Сыр гауда,Молочные продукты,1,breakfast_basic
B011,I015,Хлеб пшеничный,Хлеб,2,breakfast_basic
B011,I023,Яйца C1 10 шт,Бакалея,1,breakfast_basic
B011,I047,Огурцы,Овощи,2,breakfast_basic
