basket_id,item_name
B001,Молоко 2.5%
B001,Сыр гауда
B001,Сливочное масло
B001,Хлеб пшеничный
B001,Яйца C1 10 шт
B001,Бананы
B001,Овсяные хлопья
B001,Кофе молотый
B002,Молоко 2.5%
B002,Сметана 20%
B002,Круассаны
B002,Картофель
B002,Клубника
B002,Кофе молотый
B002,Печенье овсяное
B002,Вафли
B002,Джем клубничный
B003,Молоко 2.5%
B003,Сыр гауда
B003,Сливочное масло
B003,Хлеб пшеничный
B003,Яйца C1 10 шт
B003,Кофе молотый
B004,Молоко 2.5%
B004,Сметана 20%
B004,Сыр гауда
B004,Хлеб пшеничный
B004,Яйца C1 10 шт
B004,Куриное филе
B004,Картофель
B004,Лук репчатый
B004,Салат айсберг
B004,Шпинат
B004,Авокадо
B004,Зеленый лук
B004,Яблоки
B004,Голубика
B004,Рис длиннозерный
B004,Вода минеральная
B005,Лосось филе
B005,Огурцы
B005,Бананы
B005,Лимоны
B005,Рис длиннозерный
B005,Оливковое масло
B005,Черный перец
B005,Вода минеральная
B006,Сливки 10%
B006,Моцарелла
B006,Пармезан
B006,Фарш говяжий
B006,Макароны пенне
B006,Томатная паста
B006,Итальянские травы
B006,Газированная вода
B006,Бумажные полотенца
B007,Молоко 2.5%
B007,Лаваш
B007,Тунец консервированный
B007,Огурцы
B007,Перец болгарский
B007,Салат айсберг
B007,Авокадо
B007,Зеленый лук
B007,Лимоны
B007,Кукуруза консервированная
B007,Итальянские травы
B007,Сок яблочный
B008,Лосось филе
B008,Огурцы
B008,Перец болгарский
B008,Лимоны
B008,Рис длиннозерный
B008,Оливковое масло
B008,Кетчуп
B008,Вода минеральная
B009,Йогурт греческий
B009,Молоко безлактозное
B009,Бананы
B009,Виноград
B009,Голубика
B009,Овсяные хлопья
B009,Мед
B009,Орехи грецкие
B009,Гранола
B009,Средство для посуды
B010,Морковь
B010,Помидоры
B010,Авокадо
B010,Бананы
B010,Кетчуп
B010,Газированная вода
B010,Пельмени
B010,Вареники с картофелем
B010,Бумажные полотенца
B011,Молоко 2.5%
B011,Сыр гауда
B011,Хлеб пшеничный
B011,Яйца C1 10 шт
B011,Огурцы
B011,Перец болгарский
B011,Редис
B011,Кофе молотый
B011,Туалетная бумага
B012,Чеснок
B012,Перец болгарский
B012,Шампиньоны
B012,Кабачки
B012,Баклажаны
B012,Булгур
B012,Оливковое масло
B012,Итальянские травы
B012,Бумажные полотенца
B013,Молоко безлактозное
B013,Яблоки
B013,Бананы
B013,Печенье овсяное
B013,Мед
B013,Гранола
B014,Бананы
B014,Кофе молотый
B014,Наполнитель для кошачьего туалета
B014,Средство для посуды
B014,Пакеты для мусора
B015,Йогурт греческий
B015,Авокадо
B015,Овсяные хлопья
B015,Вода минеральная
B015,Миндаль
B015,Сэндвич с курицей
B016,Батон нарезной
B016,Чеснок
B016,Булгур
B016,Оливковое масло
B016,Соевый соус
B016,Итальянские травы
B016,Гранола
B017,Сыр гауда
B017,Сыр творожный
B017,Хлеб пшеничный
B017,Куриное филе
B017,Ветчина
B017,Морковь
B017,Помидоры
B017,Огурцы
B017,Салат айсберг
B017,Петрушка
B018,Сыр гауда
B018,Булочки для бургеров
B018,Бекон
B018,Помидоры
B018,Огурцы
B018,Салат айсберг
B018,Шпинат
B018,Кетчуп
B018,Горчица
B018,Кофе молотый
B018,Вода минеральная
B018,Картофель фри замороженный
B019,Куриное филе
B019,Чеснок
B019,Брокколи
B019,Имбирь
B019,Лимоны
B019,Рис длиннозерный
B019,Кокосовое молоко
B020,Йогурт натуральный
B020,Котлеты куриные
B020,Лук репчатый
B020,Бананы
B020,Голубика
B020,Вода минеральная
B020,Шоколад темный
B020,Салат цезарь готовый
B020,Сэндвич с курицей
B020,Туалетная бумага
B021,Молоко 2.5%
B021,Йогурт натуральный
B021,Творог 5%
B021,Яблоки
B021,Груши
B021,Печенье овсяное
B021,Детское пюре яблочное
B021,Детская каша
B021,Подгузники
B021,Влажные салфетки
B021,Туалетная бумага
