basket_id,basket_theme,n_items,items
B001,breakfast_basic,8,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Овсяные хлопья | Кофе молотый
B002,tea_sweets,9,Молоко 2.5% | Сметана 20% | Круассаны | Картофель | Клубника | Кофе молотый | Печенье овсяное | Вафли | Джем клубничный
B003,breakfast_basic,6,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Кофе молотый
B004,weekly_stock,16,Молоко 2.5% | Сметана 20% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Картофель | Лук репчатый | Салат айсберг | Шпинат | Авокадо | Зеленый лук | Яблоки | Голубика | Рис длиннозерный | Вода минеральная
B005,fish_dinner,8,Лосось филе | Огурцы | Бананы | Лимоны | Рис длиннозерный | Оливковое масло | Черный перец | Вода минеральная
B006,lasagna_pasta,9,Сливки 10% | Моцарелла | Пармезан | Фарш говяжий | Макароны пенне | Томатная паста | Итальянские травы | Газированная вода | Бумажные полотенца
B007,salad_light,12,Молоко 2.5% | Лаваш | Тунец консервированный | Огурцы | Перец болгарский | Салат айсберг | Авокадо | Зеленый лук | Лимоны | Кукуруза консервированная | Итальянские травы | Сок яблочный
B008,fish_dinner,8,Лосось филе | Огурцы | Перец болгарский | Лимоны | Рис длиннозерный | Оливковое масло | Кетчуп | Вода минеральная
B009,healthy_breakfast,10,Йогурт греческий | Молоко безлактозное | Бананы | Виноград | Голубика | Овсяные хлопья | Мед | Орехи грецкие | Гранола | Средство для посуды
B010,frozen_quick,9,Морковь | Помидоры | Авокадо | Бананы | Кетчуп | Газированная вода | Пельмени | Вареники с картофелем | Бумажные полотенца
B011,breakfast_basic,9,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Огурцы | Перец болгарский | Редис | Кофе молотый | Туалетная бумага
B012,veggie_stew,9,Чеснок | Перец болгарский | Шампиньоны | Кабачки | Баклажаны | Булгур | Оливковое масло | Итальянские травы | Бумажные полотенца
B013,healthy_breakfast,6,Молоко безлактозное | Яблоки | Бананы | Печенье овсяное | Мед | Гранола
B014,pets_home,5,Бананы | Кофе молотый | Наполнитель для кошачьего туалета | Средство для посуды | Пакеты для мусора
B015,fitness_protein,6,Йогурт греческий | Авокадо | Овсяные хлопья | Вода минеральная | Миндаль | Сэндвич с курицей
B016,veggie_stew,7,Батон нарезной | Чеснок | Булгур | Оливковое масло | Соевый соус | Итальянские травы | Гранола
B017,sandwiches,10,Сыр гауда | Сыр творожный | Хлеб пшеничный | Куриное филе | Ветчина | Морковь | Помидоры | Огурцы | Салат айсберг | Петрушка
B018,burger_night,12,Сыр гауда | Булочки для бургеров | Бекон | Помидоры | Огурцы | Салат айсберг | Шпинат | Кетчуп | Горчица | Кофе молотый | Вода минеральная | Картофель фри замороженный
B019,curry_dinner,7,Куриное филе | Чеснок | Брокколи | Имбирь | Лимоны | Рис длиннозерный | Кокосовое молоко
B020,office_lunch,10,Йогурт натуральный | Котлеты куриные | Лук репчатый | Бананы | Голубика | Вода минеральная | Шоколад темный | Салат цезарь готовый | Сэндвич с курицей | Туалетная бумага
B021,baby_care,11,Молоко 2.5% | Йогурт натуральный | Творог 5% | Яблоки | Груши | Печенье овсяное | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки | Туалетная бумага
B022,fish_dinner,7,Лосось филе | Огурцы | Шпинат | Бананы | Черный перец | Гранола | Салат цезарь готовый
B023,pasta_italian,8,Пармезан | Багет | Яйца C1 10 шт | Помидоры | Томатная паста | Соус песто | Итальянские травы | Кофе молотый
B024,mexican_tacos,13,Сыр гауда | Лаваш | Фарш говяжий | Помидоры | Баклажаны | Авокадо | Острый перец | Бананы | Голубика | Какао порошок | Кукуруза консервированная | Сальса | Миндаль
B025,frozen_quick,10,Сыр гауда | Яйца C1 10 шт | Огурцы | Кетчуп | Газированная вода | Мороженое ванильное | Пельмени | Вареники с картофелем | Овощная смесь замороженная | Пицца замороженная
B026,burger_night,9,Сыр гауда | Булочки для бургеров | Фарш говяжий | Бекон | Салат айсберг | Баклажаны | Укроп | Кетчуп | Горчица
B027,veggie_stew,8,Помидоры | Перец болгарский | Кабачки | Баклажаны | Булгур | Оливковое масло | Вода минеральная | Картофель фри замороженный
B028,weekly_stock,9,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Лук репчатый | Гречка | Подсолнечное масло | Вода минеральная
B029,big_family_stock,15,Молоко 2.5% | Батон нарезной | Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Картофель | Петрушка | Бананы | Гречка | Макароны пенне | Сахар | Чай черный | Мороженое ванильное | Бумажные полотенца | Туалетная бумага
B030,veggie_stew,7,Сметана 20% | Чеснок | Помидоры | Шампиньоны | Булгур | Оливковое масло | Итальянские травы
B031,bbq_picnic,11,Куриные бедра | Свинина для жарки | Помидоры | Огурцы | Лимоны | Кетчуп | Газированная вода | Джем клубничный | Чипсы картофельные | Бумажные полотенца | Туалетная бумага
B032,sandwiches,10,Сыр гауда | Сыр творожный | Хлеб пшеничный | Батон нарезной | Ветчина | Помидоры | Огурцы | Голубика | Чай черный | Сухарики
B033,baking_sweet,9,Яйца C1 10 шт | Говядина стейк | Шпинат | Лимоны | Мука пшеничная | Разрыхлитель теста | Ванильный сахар | Какао порошок | Порошок стиральный
B034,party_snacks,8,Бананы | Газированная вода | Квас | Мороженое ванильное | Пицца замороженная | Шоколад молочный | Чипсы картофельные | Сухарики
B035,veggie_stew,13,Чеснок | Помидоры | Шпинат | Шампиньоны | Кабачки | Баклажаны | Авокадо | Яблоки | Бананы | Булгур | Итальянские травы | Газированная вода | Средство для посуды
B036,weekly_stock,15,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Картофель | Лук репчатый | Перец болгарский | Яблоки | Голубика | Рис длиннозерный | Гречка | Подсолнечное масло | Сок яблочный | Вода минеральная
B037,party_snacks,8,Сыр гауда | Сок яблочный | Газированная вода | Квас | Мороженое ванильное | Шоколад молочный | Чипсы картофельные | Сухарики
B038,tea_sweets,8,Молоко 2.5% | Чай черный | Кофе молотый | Вода минеральная | Шоколад молочный | Печенье овсяное | Вафли | Джем клубничный
B039,fruit_snack,7,Сыр гауда | Хлеб пшеничный | Бананы | Апельсины | Виноград | Вода минеральная | Орехи грецкие
